,Autoridad Administrativa del Agua ,Administración Local del Agua ,Departamento,Provincia,Distrito,Sector,Zona,Este (Inicial),Norte (Inicial),Este (Final),Norte (Final),Longitud,Propuesta de Actividad,Latitud
0,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,ANDOAS,San Fernando,18,328498.0,9535435.0,328498.0,9535435.0,-76.54518391708238,Defensa Ribereña con Sistema de Geobolsas,-4.201456596261
1,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,BARRANCA,Bagazan,18,287217.0,9466474.0,287217.0,9466474.0,-76.91862384354941,Defensa Ribereña con Sistema de Geobolsas,-4.82415131517805
2,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,BARRANCA,San Lorenzo,18,325532.0,9466312.0,325532.0,9466312.0,-76.5732458282133,Defensa Ribereña con Sistema de Geobolsas,-4.826504547750702
3,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,Kaupan,18,279983.0,9415174.0,279983.0,9415174.0,-76.98523787631915,Defensa ribereña con sistema de geobolsas,-5.287774695789771
4,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,Santa Rosa,18,273146.0,9421465.0,273146.0,9421465.0,-77.04671678639956,Defensa ribereña con sistema de geobolsas,-5.230698871956182
5,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,Sta. María de Cahuapanas,18,274001.0,9419199.0,274001.0,9419199.0,-77.03907259789356,Defensa ribereña con sistema de geobolsas,-5.251210438129962
6,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,MANSERICHE,Puerto Elisa,18,239412.0,9487933.0,239412.0,9487933.0,-77.34879653725258,Defensa Ribereña con Sistema de Geobolsas,-4.628828305677366
7,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,MANSERICHE,Saramiriza,18,231766.0,9496190.0,231766.0,9496190.0,-77.41742116099833,Defensa Ribereña con Sistema de Geobolsas,-4.553964246962001
8,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,MORONA,Antena 4,18,283143.0,9469315.0,283143.0,9469315.0,-76.95527068494415,Defensa Ribereña con Sistema de Geobolsas,-4.79836001208934
9,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,MORONA,Nuevo San Martin,18,251517.0,9533052.0,251517.0,9533052.0,-77.23852043923304,Defensa Ribereña con Sistema de Geobolsas,-4.221314518276534
10,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,MORONA,Puerto Alegria,18,253075.0,9523061.0,253075.0,9523061.0,-77.22475197836229,Defensa Ribereña con Sistema de Geobolsas,-4.311673028523022
11,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,MORONA,Puerto America,18,271119.0,9477393.0,271119.0,9477393.0,-77.06341994571272,Defensa Ribereña con Sistema de Geobolsas,-4.725009525053398
12,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,PASTAZA,Charupa,18,402937.0,9447653.0,402937.0,9447653.0,-75.87555200963367,Defensa Ribereña con Sistema de Geobolsas,-4.9965451591044365
13,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,PASTAZA,Los Angeles,18,383890.0,9443981.0,383890.0,9443981.0,-76.04739962611352,Defensa Ribereña con Sistema de Geobolsas,-5.029506945112972
14,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,PASTAZA,Musakarusha,18,316543.0,9508244.0,316543.0,9508244.0,-76.65339882179737,Defensa Ribereña con Sistema de Geobolsas,-4.4471238836125035
